  The type of the variability: E           
BY    Oct |000037.8-802348. |E         | 15.6    |  16.6      |p |
NSV 10138 |180547.4-545659. |E         | 14.0    |  14.8      |p |
V0772 Her |180549.7+212645. |E         |  6.9    |(  0.10    )|V |G2V
NSV 10150 |180622.0-584926. |E         | 14.7    |  15.8      |p |
NSV 24269 |180713.9-310701. |E         | 18.4    |  18.8      |B |
NSV 10193 |180738.8-531534. |E         | 13.8    |  14.6      |p |
V0631 Sgr |180853.5-361145. |E         | 13.6    |  14.4      |p |
NSV 10246 |180924.2-500020. |E         | 12.6    |  13.4      |p |
NSV 10265 |180934.3-364842. |E         | 13.7    |  14.2      |p |
NSV 10243 |180937.2-560358. |E         | 14.4    |  15.6      |p |
NSV 10284 |181051.3-542556. |E         | 14.3    |  14.9      |p |
NSV 10286 |181101.3-525201. |E         | 12.8    |  13.9      |p |
NSV 10312 |181116.2-351625. |E         | 12.5    |  13.2      |p |
V2621 Sgr |181156.7-350403. |E         | 17.1    |  18.2      |p |
NSV 10301 |181158.4-580608. |E         | 14.8    |  15.6      |p |
V2625 Sgr |181208.4-342913. |E         | 15.2    |  16.4      |p |
NSV 10340 |181217.6-374244. |E         | 13.9    |  14.5      |p |
AG    Pav |181225.6-623322. |E         | 10.2    |  13.0      |p |
V2661 Sgr |181259.4-335345. |E         | 17.3    |  18.6      |p |
V0683 Sgr |181424.2-364607. |E         | 12.0    |  12.7      |p |
V0687 Sgr |181432.5-342235. |E         | 11.9    |  12.7      |p |
NSV 10388 |181505.4-544511. |E         | 14.9    |  15.9      |p |
NSV 10397 |181526.5-532505. |E         | 15.5    |  16.1      |p |
NSV 10437 |181559.0-350255. |E         | 13.5    |  14.1      |p |
V0359 CrA |181603.3-383906. |E         | 12.0    |  12.9      |p |
NSV 10416 |181618.9-572743. |E         | 14.1    |  15.0      |p |
V2898 Sgr |181727.6-330657. |E         | 16.3    |  18.4      |p |
V2901 Sgr |181735.7-334211. |E         | 16.1    |  17.5      |p |
NSV 10494 |181834.0-534857. |E         | 14.1    |  14.6      |p |
V2999 Sgr |181914.1-351256. |E         | 16.3    |  18.4      |p |
NSV 10531 |181944.0-533546. |E         | 16.0    |  17.0      |p |
V3046 Sgr |181952.8-330532. |E         | 16.6    |  17.6      |p |
NSV 10569 |181955.6-532303. |E         | 14.1    |  14.7      |p |
NSV 10611 |182040.2-544721. |E         | 15.0    |  15.8      |p |
V3087 Sgr |182049.1-351135. |E         | 16.1    |  16.6      |p |
NSV 10634 |182127.2-562414. |E         | 10.     |  10.5      |p |
V3130 Sgr |182143.6-345758. |E         | 15.4    |  16.0      |p |
V3147 Sgr |182154.4-313507. |E         | 13.0    |  13.7      |p |
V3806 Sgr |182220.5-231601. |E         | 14.3    |< 16.2      |p |
V3160 Sgr |182229.6-360335. |E         | 16.4    |  16.8      |p |
V3201 Sgr |182326.6-311522. |E         | 15.9    |  17.6      |p |
V3245 Sgr |182432.4-355316. |E         | 16.4    |  18.6      |p |
GV    Sgr |182504.0-261656. |E         | 14.4    |  15.6      |p |
V3278 Sgr |182512.9-354853. |E         | 15.7    |  16.6      |p |
NSV 10734 |182518.8-530251. |E         | 14.6    |  15.6      |p |
NSV 10745 |182546.9-503237. |E         | 15.8    |  17.0      |p |
V3342 Sgr |182647.1-324744. |E         | 17.7    |  19.0      |p |
V3340 Sgr |182652.9-360302. |E         | 16.3    |  17.9      |p |
V3392 Sgr |182816.6-312551. |E         | 16.8    |  18.6      |p |
V0559 Lyr |182823.0+312134. |E         | 11.3    |  13.1      |p |
V0547 Ser |182824.4+061336. |E         | 11.3    |(  0.02    )|V |
V3391 Sgr |182828.7-353504. |E         | 15.2    |  15.8      |p |
NSV 10812 |182835.2-572558. |E         | 15.1    |  15.9      |p |
NSV 10825 |182850.4-555711. |E         | 14.9    |  15.6      |p |
V3421 Sgr |182911.6-322356. |E         | 16.5    |  19.1      |p |
NSV 10854 |182945.3-554455. |E         | 15.4    |  16.3      |p |
V3454 Sgr |183009.1-320548. |E         | 16.2    |  17.0      |p |
NSV 10917 |183139.0-545236. |E         | 15.6    |  16.8      |p |
V3495 Sgr |183139.6-365344. |E         | 15.2    |  16.4      |p |
V4367 Sgr |183201.4-234031. |E         | 16.8    |  18.0      |B |
NSV 10927 |183205.5-572151. |E         | 14.2    |  14.9      |p |
V3532 Sgr |183253.4-341809. |E         | 14.8    |  16.2      |p |
V3533 Sgr |183256.5-342944. |E         | 16.4    |  17.4      |p |
V3541 Sgr |183304.0-333130. |E         | 15.5    |  15.9      |p |
V4727 Sgr |183330.7-285851. |E         | 10.6    |< 13.8      |V |
V3555 Sgr |183332.9-342633. |E         | 14.4    |  14.9      |p |
V3569 Sgr |183401.1-320818. |E         | 15.7    |  17.7      |p |
V3572 Sgr |183410.4-330632. |E         | 16.6    |  17.8      |p |
BB    Pav |183449.8-591430. |E         | 12.5    |  13.2      |p |
NSV 11047 |183615.6-550524. |E         | 15.7    |  17.2      |p |
NSV 11066 |183654.1-501952. |E         | 13.7    |  14.3      |p |
V3710 Sgr |183922.5-353917. |E         | 17.0    |  17.5  :   |p |
NSV 11137 |184000.2-550450. |E         | 15.3    |  16.1      |p |
V3727 Sgr |184000.2-350614. |E         | 16.3    |  17.8      |p |
V3733 Sgr |184003.0-320732. |E         | 17.0    |  19.1      |p |
V3752 Sgr |184044.0-353226. |E         | 15.9    |  18.5      |p |
NSV 11162 |184109.2-555121. |E         | 14.6    |  15.3      |p |
V3761 Sgr |184110.7-332848. |E         | 15.9    |  16.7      |p |
NSV 11206 |184356.4-494258. |E         | 13.8    |  14.5      |p |
V3870 Sgr |184409.1-225415. |E         | 14.2    |  15.4      |p |
GH    Tel |184537.8-535038. |E         | 14.1    |  15.2      |p |
AD    Sct |184556.2-073235. |E         | 12.5    |  13.2      |p |
GP    Sct |184629.7-062923. |E         | 15.0    |  16.5      |p |
V0481 Lyr |184746.4+434343. |E         | 12.8    |  14.3      |p |
GQ    Sct |184748.0-081851. |E         | 15.8    |  17.5      |p |
NSV 11334 |184817.5-552341. |E         | 14.6    |  15.5      |p |
NSV 24595 |184831.4-194108. |E         |  8.70   |            |V |(B8)
V0362 Pav |184903.5-631610. |E         |  7.44   |   7.64     |Hp|
V4088 Sgr |185106.4-201800. |E         |  7.49   |   7.87     |V |
NSV 11390 |185132.4-565202. |E         | 13.7    |  14.2      |p |
LZ    Sct |185254.5-083917. |E         | 15.3    |  16.2      |p |
MQ    Sct |185301.9-072114. |E         | 15.0    |  15.9      |p |
NSV 11514 |185406.5+384142. |E         | 14.2    |  15.5      |p |
V0341 Sct |185719.4-083343. |E         | 15.3    |  15.8      |p |
NSV 11604 |185727.2+425738. |E         | 15.5    |  16.       |p |
V0358 Sct |185812.8-061347. |E         | 16.0    |  17.1      |p |
V0361 Lyr |190228.1+465858. |E         | 14.3    |  15.7      |B |
NSV 11704 |190358.9+161931. |E         | 17.5    |  18.       |p |
V0449 Lyr |190737.1+440020. |E         | 12.5    |  16.0      |p |
V0370 Lyr |191327.3+421453. |E         | 14.     |  15.       |p |
V0401 Lyr |191415.7+382658. |E         | 13.6    |  15.6      |p |
V1198 Aql |191505.9+025600. |E         | 15.5    |  16.       |p |
V0432 Lyr |191650.3+291053. |E         | 12.9    |  13.5      |p |
V0371 Lyr |191659.0+265803. |E         | 13.4    |  14.2      |p |
LZ    Vul |191824.4+252518. |E         | 14.3    |  15.2      |p |
V1206 Aql |191920.1+042959. |E         | 14.     |  14.5      |p |
V1234 Aql |191920.2+021732. |E         | 15.     |  16.       |p |
NSV 11928 |192029.2+293115. |E         | 11.4    |  11.9      |p |
V1212 Aql |192032.8+022421. |E         | 14.5    |  15.       |p |
V1214 Aql |192210.1+023325. |E         | 15.5    |  16.       |p |
IR    Vul |192338.1+263937. |E         | 13.4    |  14.3      |p |
EK    Pav |192433.0-725842. |E         | 16.5    |  17.2      |p |
NSV 12005 |192447.2+362743. |E         | 12.8    |            |V |
V1228 Aql |192447.8-011851. |E         | 14.     |  14.5      |p |
V1230 Aql |192513.5+033901. |E         | 16.5    |  17.       |p |
V1358 Aql |192524.7-064021. |E         | 15.7    |  16.4      |p |
V1235 Aql |192816.4+024617. |E         | 15.     |  15.5      |p |
V1240 Aql |192857.3+071707. |E         | 14.5    |  15.       |p |
V1239 Aql |192901.9+035911. |E         | 16.     |  16.5      |p |
NSV 12061 |192930.9-425835. |E         | 13.5    |  14.       |p |
NSV 12116 |193201.1+075303. |E         | 16.     |  16.5      |p |
V1253 Aql |193258.4+052821. |E         | 15.     |  15.5      |p |
V1268 Aql |193624.0+061144.:|E         | 16.     |  17.       |p |
V1272 Aql |193657.5+055533. |E         | 14.     |  14.5      |p |
V1002 Aql |193846.5+055705. |E         | 14.8    |  15.2      |p |
V1373 Aql |193912.3+133749. |E         | 14.9    |  15.4      |p |
V1276 Aql |193915.7+022723. |E         | 14.5    |  15.       |p |
V1277 Aql |193924.0+040904. |E         | 14.     |  15.       |p |
NSV 12232 |193928.6-425135. |E         | 14.     |  14.5      |p |
BL    Dra |194024.6+605513. |E         | 11.9    |  12.2      |p |
NSV 12258 |194035.9-421317. |E         | 13.     |  13.5      |p |
NSV 12286 |194107.0+103822. |E         | 16.4    |            |B |
V1014 Aql |194204.7+063346. |E         | 14.4    |  15.0      |p |
V1383 Aql |194241.1+075149. |E         | 14.8    |  15.2      |p |
NSV 12318 |194318.4-382606. |E         | 12.5    |  13.       |p |
GL    Vul |194456.7+201216. |E         | 14.5    |  15.       |p |
NSV 12356 |194512.1-371016. |E         | 13.     |  13.5      |p |
V1147 Cyg |194552.5+321540. |E         | 11.9    |  12.7      |p |
DS    Sge |194626.8+170332. |E         | 15.8    |  16.8      |p |
NSV 12389 |194709.9-374014. |E         | 15.     |  15.5      |p |
NX    Aql |194711.0+132901. |E         | 15.0    |  16.0      |p |
NSV 12420 |194743.3+375600. |E         | 14.6    |  15.3      |p |
V1151 Cyg |194751.1+295136. |E         | 13.8    |  14.3      |p |
V1002 Cyg |194841.0+561455. |E         | 13.6    |  14.0      |p |
V1507 Cyg |194841.9+292408. |E         |  6.92   |   7.04     |V |B8II-IIIep
NSV 12414 |194843.8-381814. |E         | 15.5    |  16.       |p |
V1309 Aql |194852.3+072220. |E         | 16.7    |  18.1      |p |
NN    Cyg |194927.2+384447. |E         | 14.3    |  14.9      |p |
V1048 Aql |195133.4+104633. |E         | 14.5    |  15.0      |p |
NSV 12480 |195134.1+200216. |E         | 14.3    |  15.2      |p |
NSV 12485 |195148.7+192252. |E         | 13.4    |  13.8      |p |
NV    Cyg |195154.2+384604. |E         | 15.7    |< 16.3      |p |
NX    Cyg |195204.1+375243. |E         | 14.6    |< 15.7      |p |
NSV 12504 |195229.4+190639. |E         | 15.5    |< 16.3      |p |
OO    Cyg |195244.9+375848. |E         | 14.1    |  14.6      |p |
NSV 12472 |195252.4-590244. |E         | 14.0    |  14.5      |p |
NSV 12517 |195308.7+180817. |E         | 13.4    |  13.7      |p |
QY    Pav |195342.4-592010. |E         | 15.0    |  15.5      |p |
NSV 12528 |195349.0+185306. |E         | 14.3    |  14.9      |p |
QU    Sge |195349.3+184543. |E         | 15.2    |  17.0      |p |
OS    Cyg |195358.4+391209. |E         | 14.7    |  15.5      |p |A5
NSV 12543 |195422.0+185205. |E         | 14.8    |  15.4      |p |
NSV 12544 |195428.1+181949. |E         | 14.5    |  15.8      |p |
OW    Cyg |195430.3+373022. |E         | 14.6    |  16.3      |p |
NSV 12545 |195431.4+192124. |E         | 14.9    |  15.5      |p |
NSV 12556 |195435.2+390349. |E         | 15.6    |  15.9      |p |F8
NSV 12554 |195454.1+191224. |E         | 15.6    |< 17.2      |p |
NSV 12561 |195509.3+184229. |E         | 14.7    |  15.6      |p |
NSV 12534 |195515.3-394117. |E         | 15.     |  15.5      |p |
NSV 12576 |195530.4+373552. |E         | 14.2    |  14.8      |p |
NSV 12571 |195541.7+193839. |E         | 15.6    |  16.3      |p |
NSV 12578 |195605.4+192031. |E         | 16.7    |  17.5      |p |
NSV 12582 |195624.6+194939. |E         | 15.0    |  15.2      |p |
NSV 12589 |195642.4+191651. |E         | 16.0    |  16.7      |p |
NSV 12601 |195645.6+374202. |E         | 14.9    |  15.3      |p |
NSV 12587 |195647.6+095332. |E         | 12.5    |  13.       |p |
NSV 12594 |195653.4+194008. |E         | 15.3    |  16.0      |p |
NSV 12597 |195701.7+200548. |E         | 15.0    |< 16.7      |p |
NSV 12602 |195713.4+182006. |E         | 13.8    |  14.5      |p |
NSV 12606 |195729.2+191729. |E         | 14.3    |  14.8      |p |
QR    Cyg |195731.1+382746. |E         | 13.4    |  14.7      |p |A3
NSV 12610 |195738.5+182858. |E         | 13.5    |  14.0      |p |
QU    Cyg |195827.9+381328. |E         | 14.5    |  15.3      |p |
NSV 12631 |195831.9+192901. |E         | 15.1    |  15.6      |p |
NSV 12633 |195835.5+191006. |E         | 15.3    |  16.0      |p |
NSV 12640 |195847.9+195705. |E         | 15.0    |  16.0      |p |
NSV 12639 |195848.4+185850. |E         | 14.0    |  14.4      |p |
NSV 12641 |195856.8+180616. |E         | 14.3    |  14.8      |p |
NSV 12645 |195859.7+175833. |E         | 14.7    |  15.2      |p |
NSV 12649 |195907.0+184418. |E         | 15.0    |< 16.       |p |
NSV 12654 |195916.4+184447. |E         | 14.9    |< 16.       |p |
NSV 12666 |200006.2+183715. |E         | 15.4    |  16.1      |p |
NSV 12675 |200015.4+192140. |E         | 14.8    |  15.5      |p |
LZ    Pav |200119.8-714337. |E         | 16.1    |  16.6      |p |
V1029 Cyg |200136.9+533502. |E         | 16.4    |  16.8  :   |p |
NSV 12706 |200143.1+164850. |E         | 16.     |  16.5      |p |
NSV 12713 |200152.1+192551. |E         | 14.0    |  14.7      |p |
V2414 Cyg |200219.4+395509. |E         |  9.87   |  10.48     |R |B8
NSV 12701 |200242.3-422830. |E         | 14.     |  14.5      |p |
V0344 Cyg |200415.0+385728. |E         | 14.3    |  14.8      |p |
V1088 Aql |200444.7+115259. |E         | 14.0    |  14.6      |p |
KP    Dra |200523.5+632457. |E         | 12.0    |  14.4      |V |
OZ    Tel |200615.6-561415. |E         | 15.3    |  15.8      |p |
NSV 12816 |200623.4+592611. |E         | 13.9    |  14.3      |p |
NSV 12789 |200704.6-390138. |E         | 13.5    |  14.       |p |
V1036 Cyg |200803.9+404340. |E         | 11.6    |  13.3      |p |
EZ    Vul |200855.2+245433. |E         | 13.0    |< 15.       |p |
NSV 12821 |200907.7-395951. |E         | 15.     |  15.5      |p |
EU    Sge |200945.7+194134. |E         | 16.5    |  17.       |p |
V2181 Cyg |200949.5+303429. |E         | 13.0    |(  0.9     )|V |
EV    Sge |201005.4+191832. |E         | 15.     |  15.5      |p |
NSV 12899 |201136.3+590044. |E         | 16.6    |  17.       |p |
V1678 Cyg |201327.0+383431. |E         | 12.4    |  14.4      |I |
NSV 12968 |201748.5-425917. |E         | 15.     |  15.5      |p |
NSV 12992 |201750.6+543154. |E         | 16.4    |  17.0      |p |
IL    Del |201826.4+151400. |E         | 15.     |  16.       |p |
V1192 Cyg |202019.7+561316. |E         | 15.2    |  15.8      |p |
V1774 Cyg |202055.9+502729. |E         | 12.6    |  15.0      |V |
EO    Vul |202103.9+273353. |E         | 12.7    |  13.9      |p |
IM    Del |202230.0+183354. |E         | 13.5    |  14.       |p |
NSV 13069 |202434.7+222732. |E         | 13.0    |  14.0      |p |
HI    Cep |202458.5+613356. |E         | 12.3    |  13.8      |p |
IN    Del |202629.4+101002. |E         | 15.5    |  16.       |p |
IQ    Pav |202633.6-581137. |E         | 11.8    |  12.3      |p |
IR    Del |202853.4+182405. |E         | 13.5    |  14.       |p |
V1050 Cyg |202916.7+543015. |E         | 14.8    |  17.0      |p |
HL    Del |202921.9+180926. |E         | 16.0    |< 17.0      |p |
BB    Vul |203219.5+273944. |E         | 12.5    |  13.2      |p |
IY    Del |203633.8+163143. |E         | 16.     |  16.5      |p |
SZ    Mic |203652.3-391206. |E         | 13.4    |  14.0      |p |
NSV 13194 |203823.2+243635.*|E         | 14.5    |  15.       |p |
DF    Dra |203846.4+693609. |E         | 13.2    |  14.3      |p |
DW    Vul |204033.3+270442. |E         | 15.5    |  16.2      |p |
KN    Del |204101.2+164558. |E         | 15.     |  15.5      |p |
IM    Vul |204306.0+222855. |E         | 11.6    |< 13.3      |p |
DV    Cep |204318.4+722230. |E         | 11.4    |  12.2      |p |
FK    Cep |204607.8+603836. |E         | 16.0    |< 17.       |p |
GS    Del |204643.1+150119. |E         | 15.5    |  16.5      |p |
HZ    Del |204731.8+140529. |E         | 14.5    |  15.0      |p |
V1856 Cyg |204819.4+352734. |E         | 14.2    |  15.7      |B |
NQ    Pav |204833.1-691753. |E         | 16.6    |  17.0  :   |p |
XX    Ind |204835.3-583816. |E         | 15.5    |< 16.0      |p |
V2197 Cyg |205016.3+375645. |E         | 10.9    |  12.4      |p |
V1866 Cyg |205036.9+361843. |E         | 16.1    |  17.6      |B |
V1869 Cyg |205139.3+332725. |E         | 15.9    |  18.0      |B |
V1870 Cyg |205141.0+354408. |E         | 14.3    |  17.2      |B |
NSV 13375 |205254.8-165444.*|E         | 13.5    |  14.5      |p |
NSV 13396 |205501.1-130319.*|E         | 14.1    |  14.7      |p |
NSV 13423 |205720.1-131218.*|E         | 14.2    |  14.8      |p |
NSV 13455 |210057.5-123731.*|E         | 13.4    |  14.0      |p |
NSV 13511 |210529.9-143441.*|E         | 14.5    |  15.0      |p |
NSV 13528 |210613.9-110533.*|E         | 14.2    |  15.4      |p |
NSV 13639 |211754.7-123840.*|E         | 15.2    |  15.9      |p |
NSV 13652 |211836.5+390841.*|E         | 16.     |  16.5      |p |
NSV 13647 |211850.0-190850.*|E         | 14.0    |  14.5      |p |
NSV 13654 |211909.7+381642.*|E         | 16.     |  16.5      |p |
NSV 13659 |211924.1+375943.*|E         | 14.5    |  15.       |p |
V1071 Cyg |212250.5+422122. |E         | 15.7    |  18.   :   |p |
DP    Peg |212256.1+220347. |E         | 13.3    |  14.2      |p |
V1246 Cyg |212723.8+432948. |E         | 13.7    |  14.1      |p |
BM    Oct |213045.3-790357. |E         | 11.4    |  12.2      |p |
V0400 Cyg |213141.1+292616. |E         | 13.2    |  14.3      |p |
PX    Cep |213558.0+655142. |E         | 12.0    |  13.7      |p |
BW    Peg |213808.3+212828. |E         | 14.1    |  15.2      |p |
CC    Peg |213939.8+282349. |E         | 12.6    |  13.3      |p |
V0434 Cep |213949.7+654401. |E         |  9.12   |   9.31     |Hp|
CE    Peg |214047.0+250915. |E         | 13.2    |  14.2      |p |
V0710 Cyg |214605.3+481647. |E         | 15.0    |  16.2      |p |
CZ    Peg |215028.0+250234.:|E         | 13.4    |  14.4      |p |
NSV 13900 |215046.9+523331. |E         | 13.8    |  14.7      |p |A
LR    Cyg |215147.3+461511. |E         | 13.1    |  15.0      |p |
NSV 13922 |215258.2+440055.*|E         | 13.7    |  14.0      |p |
V1095 Cyg |215542.0+472002. |E         | 15.5    |  16.5      |p |
V1432 Cyg |215638.3+540102. |E         | 14.4    |  15.0  :   |p |
V1403 Cyg |215654.9+510815. |E         | 10.8    |  11.2      |p |B8
V1917 Cyg |215730.9+432057. |E         | 14.7    |  16.6      |p |
V1413 Cyg |215938.0+515816. |E         | 12.5    |  13.0      |p |
V1418 Cyg |220205.9+513053. |E         | 11.8    |  12.1      |p |B5:
AF    Aqr |220425.9-213553. |E         | 15.1    |  16.0      |p |
IL    Lac |220647.1+520908. |E         | 12.5    |  13.1      |p |A2:
NSV 14065 |221033.3+620901.*|E         | 13.2    |  13.8      |p |
NSV 14075 |221336.1+512554.*|E         | 12.5    |< 14.       |p |
KP    Lac |221507.0+542655. |E         | 13.8    |  14.4      |p |
RT    PsA |222003.1-250937. |E         | 13.6    |  14.5      |p |
BI    Gru |222110.4-440352. |E         | 14.7    |  15.2      |p |
ZZ    Lac |222223.2+513304. |E         | 13.6    |  15.8      |p |
MQ    Lac |222342.5+562237. |E         | 14.5    |  15.5      |p |
MU    Lac |222457.3+513652. |E         | 14.1    |  15.1      |p |
NSV 14204 |223206.0+742312.*|E         | 12.2    |  12.6      |p |
NSV 14293 |224201.3+772620.*|E         | 14.     |  14.5      |p |
NSV 14287 |224247.9+522344.*|E         | 15.5    |  16.       |p |
FS    Lac |225314.4+475807. |E         | 14.7    |  15.6      |p |
FT    Lac |225427.6+482558. |E         | 13.9    |  14.8      |p |
BN    Gru |230451.2-451122. |E         | 14.0    |  15.5      |p |
BO    Gru |230658.6-435439. |E         | 12.1    |  12.6      |p |
DW    And |231427.6+420115. |E         | 13.6    |  14.4      |p |
AU    Oct |231654.4-791727. |E         | 14.5    |  15.0      |p |
NSV 14526 |232213.6+390327.*|E         | 12.8    |  13.7      |p |
NSV 14528 |232229.5+551924.*|E         | 12.7    |  13.9      |p |
NSV 14558 |232621.3-310456.*|E         | 12.     |  13.       |p |
NSV 14624 |233446.2-485417.*|E         | 10.5    |  11.       |p |
CI    Oct |233449.5-810535. |E         | 15.0    |  15.5      |p |
NSV 14635 |233617.6+660636.*|E         | 15.1    |  16.0      |p |
NSV 14658 |233941.6+794916.*|E         |  8.2    |            |V |B9
NSV 14704 |234712.8-784208.*|E         | 13.8    |  14.9      |p |
NSV 14712 |234808.3-325837.*|E         | 14.8    |  16.0      |p |
TU    Scl |235140.0-291017. |E         | 13.89   |  14.5      |B |
NSV 14739 |235307.9-742953.*|E         | 15.5    |  16.       |p |
V0729 Cas |235401.2+620419. |E         | 12.89   |  13.03     |V |
V1213 Cas |235650.8+563826. |E         | 16.12   |  16.21     |V |
V1217 Cas |235711.9+563125. |E         | 19.33   |  19.40 :   |r'|
V1224 Cas |235738.6+563558. |E         | 13.80   |  13.92     |V |
V1232 Cas |235827.3+564636. |E         | 20.86   |  20.99     |r'|
V0400 And |235857.8+404732. |E         |  8.57   |   8.65     |Hp|A5
V1239 Cas |235903.8+563917. |E         | 16.37   |  16.45     |V |
