  The type of the variability: RR          
TZ    Scl |000049.2-284901. |RR        | 14.6    |  15.6      |p |
RW    Crv |124042.9-222742. |RR        | 14.3    |  15.3      |p |
DU    Mus |124059.8-670638. |RR        | 16.     |< 16.5      |p |
BS    Vir |124139.8-014949. |RR        | 13.6    |  14.4      |p |
NSV 05885 |124303.5+243055. |RR        | 10.2    |  11.5      |V |
GR    CVn |124322.9+345717. |RR(B)     | 13.9    |  14.6      |* |
CI    Hya |124431.9-273907. |RR        | 13.8    |  15.3      |p |
DH    Mus |124441.8-715406. |RR        | 14.5    |  15.5      |p |
RX    Crv |124454.5-173740. |RR        | 13.8    |  14.8      |p |
RY    Crv |124459.9-220301. |RR        | 14.4    |  15.4      |p |
AS    Com |124523.6+164053. |RR        | 17.1    |  17.9      |B |
AY    Cha |124606.3-784304. |RR        | 15.0    |  16.0      |p |
BV    Vir |124633.9+021828. |RR        | 14.6    |  15.3      |p |
V0335 Com |124746.3+201548. |RR(B)     | 16.29   |  16.86     |CV|
V0336 Com |124842.7+154135. |RR(B)     | 18.0    |  18.8      |CV|
V0630 Vir |124929.0+032242. |RR(B)     | 14.68   |  15.26     |CV|
AZ    Cha |125012.9-815716. |RR        | 13.3    |  14.4      |p |
DI    Mus |125016.4-694915. |RR        | 15.5    |  16.5      |p |
HP    CVn |125017.8+425730. |RR(B)     | 15.75   |  16.39     |CV|
CK    Hya |125023.6-292621. |RR        | 14.5    |  15.4      |p |
CL    Hya |125025.1-282655. |RR        | 14.5    |  15.5      |p |
V0684 Vir |125112.4+012809. |RR(B)     | 18.1    |  19.0      |CV|
CN    Hya |125113.8-294506. |RR        | 14.8    |  16.3      |p |
DL    Mus |125217.1-690508. |RR        | 15.     |  16.       |p |
EQ    Hya |125252.7-251838. |RR        | 12.8    |  14.2      |p |
V0685 Vir |125347.4+094309. |RR(B)     | 15.66   |  16.24     |CV|
V0478 Cen |125353.1-313943. |RR        | 14.0    |  15.0      |p |
V0479 Cen |125401.3-324134. |RR        | 14.4    |  15.2      |p |
BY    Vir |125408.6+021615. |RR        | 14.3    |  14.8      |p |
BD    Com |125455.5+231525. |RR        | 14.5    |  15.1      |B |
ES    Hya |125647.9-253626. |RR        | 13.2    |  14.5      |p |
CP    Hya |125721.4-292916. |RR        | 13.3    |  13.8      |p |
V0686 Vir |125752.7-115512. |RR(B)     | 16.54   |  17.42     |CV|
CC    Vir |130053.4-182732. |RR        | 13.9    |  14.6      |p |
CD    Vir |130111.9-210151. |RR        | 14.0    |  14.9      |p |
HS    CVn |130137.1+394137. |RR(B)     | 17.01   |  17.78     |CV|
V0337 Com |130212.8+175021. |RR(B)     | 18.1    |  18.9      |CV|
V0338 Com |130344.7+175807. |RR(B)     | 18.2    |  19.2      |CV|
BD    Cha |130358.9-802725. |RR        | 14.8    |  15.6      |p |
V0691 Vir |130512.7+102840. |RR(B)     | 16.33   |  17.00     |CV|
BH    Cha |130542.9-765702. |RR        | 14.5    |  16.1      |p |
NSV 06099 |130749.4-704839. |RR        | 14.5    |  15.       |p |
V0694 Vir |130847.9+141012. |RR(B)     | 16.75   |  17.51     |CV|
HV    CVn |131259.9+370702. |RR(B)     | 16.53   |  17.22     |CV|
V0696 Vir |131342.5-101356. |RR(B)     | 16.42   |  17.37     |CV|
V0698 Vir |131631.5+030104. |RR(B)     | 17.52   |  18.46     |CV|
V0699 Vir |131641.3-033615. |RR(B)     | 16.59   |  17.26     |CV|
V0340 Com |131946.8+144022. |RR(B)     | 13.62   |  14.41     |CV|
VZ    Mus |132011.8-701830. |RR        | 15.2    |  16.4      |p |
V0703 Vir |132153.3+090131. |RR(B)     | 17.8    |  18.7      |CV|
V0341 Com |132322.1+261344. |RR(B)     | 17.46   |  18.33     |CV|
V0342 Com |132323.8+175558. |RR(B)     | 18.1    |  18.7      |CV|
DW    Cen |132425.9-524145. |RR        | 15.0    |  15.8      |p |
V0704 Vir |132455.1-163026. |RR(B)     | 16.63   |  17.34     |CV|
V0343 Com |132611.9+184445. |RR(B)     | 17.7    |  18.6      |CV|
V0705 Vir |132652.6+035446. |RR(B)     | 18.4    |  19.4      |CV|
XX    Mus |132743.8-704423. |RR        | 14.0    |  15.0      |p |
V0707 Vir |132854.9+022614. |RR(B)     | 18.1    |  19.1      |CV|
HX    CVn |132900.4+341243. |RR(B)     | 17.32   |  18.04     |CV|
V0708 Vir |133106.0+052308. |RR(B)     | 18.3    |  19.3      |CV|
V0644 Vir |133116.1+033407. |RR(B)     | 13.68   |  14.46     |CV|
BY    Cha |133448.7-764556. |RR        | 14.5    |  15.5      |p |
V0711 Vir |133650.2-114342. |RR(B)     | 15.31   |  15.87     |CV|
FR    Cen |134335.4-494020. |RR        | 15.2    |  16.3      |p |
FX    Cen |134521.5-533316. |RR        | 14.5    |  15.4      |p |
GH    Cen |134616.9-513551. |RR        | 15.9    |  16.6      |p |
V0381 Boo |134701.8+205659. |RR(B)     | 18.4    |  19.3      |CV|
V0603 Hya |134819.2-294849. |RR(B)     | 15.15   |  15.80     |CV|
GR    Cen |134825.7-510529. |RR        | 15.8    |  16.9      |CV|
GW    Cen |135022.1-491741. |RR        | 14.1    |  15.3      |p |
V0703 Cen |135215.1-561509. |RR        | 14.2    |  14.8      |p |
HR    Cen |135243.2-513852. |RR        | 14.4    |  15.1      |p |
RX    Cir |135420.1-695403. |RR        | 12.8    |  14.2      |p |
V0383 Boo |135512.5+094610. |RR(B)     | 18.2    |  19.2      |CV|
DQ    UMa |135642.9+525411. |RR        | 15.1    |  15.9      |B |
V0384 Boo |135645.3+260641. |RR(B)     | 16.18   |  16.76     |CV|
V0386 Boo |135822.8+091329. |RR(B)     | 18.6    |  19.3      |CV|
V0388 Boo |140702.4+102625. |RR(B)     | 18.0    |  18.8      |CV|
GP    Hya |141019.1-294655. |RR        | 15.     |  16.       |p |
GQ    Hya |141451.4-282046. |RR        | 15.     |  16.       |p |
GR    Hya |141513.8-293038. |RR        | 15.     |  16.5      |p |
V0509 Cen |141610.1-421950. |RR        | 15.4    |  16.5      |p |
V0659 Vir |142022.4+030652. |RR(B)     | 14.29   |  14.94     |CV|
CW    Lup |142023.0-443159. |RR        | 11.5    |  12.2      |p |
V0394 Boo |142158.7+342725. |RR(B)     | 16.16   |  16.78     |CV|
EY    Lup |142305.5-424452. |RR        | 14.9    |  15.6      |p |
V0395 Boo |142454.2+114745. |RR(B)     | 15.56   |  16.38     |CV|
V0396 Boo |142547.2+221009. |RR(B)     | 15.74   |  16.35     |CV|
GU    Hya |142723.4-281755. |RR        | 14.5    |  16.       |p |
EZ    Lup |142810.9-444527. |RR        | 14.3    |  15.3      |p |
GW    Hya |142858.1-295528. |RR        | 14.     |  15.       |p |
XX    Cir |142933.5-683758. |RR        | 14.0    |  15.5      |p |
V0734 Vir |142954.7+001823. |RR(B)     | 17.86   |  18.72     |CV|
GX    Hya |143015.8-252408. |RR        | 13.5    |  14.       |p |
V0397 Boo |143150.4+175722. |RR(B)     | 18.2    |  19.2      |CV|
GZ    Hya |143228.6-281327. |RR        | 14.5    |  16.       |p |
DN    Lup |143323.8-432045. |RR        | 14.8    |  15.9      |p |
V0735 Vir |143352.9+020800. |RR(B)     | 17.50   |  18.35     |CV|
V0737 Vir |143433.4+010208. |RR(B)     | 18.3    |  19.4      |CV|
V0399 Boo |143454.0+270936. |RR(B)     | 17.66   |  18.62     |CV|
DQ    Lup |143521.5-430952. |RR        | 13.3    |  14.2      |p |
V0401 Boo |143649.6+323951. |RR(B)     | 15.18   |  15.95     |CV|
HH    Hya |143913.8-283217. |RR        | 14.     |  15.       |p |
V1360 Cen |143929.8-335127. |RR(B)     | 13.1    |  13.8      |CV|
V0403 Boo |144018.1+200132. |RR(B)     | 16.13   |  16.74     |CV|
HI    Hya |144240.0-280756. |RR        | 13.5    |  14.       |p |
HK    Hya |144313.2-251931. |RR        | 13.5    |  14.5      |p |
V0405 Boo |144401.0+340244. |RR(B)     | 16.59   |  17.42     |CV|
HM    Hya |144407.4-283125. |RR        | 14.5    |  15.       |p |
HN    Hya |144411.2-285124. |RR        | 14.     |  14.5      |p |
HO    Hya |144600.6-285134. |RR        | 12.     |  13.       |p |
TX    Lup |144657.9-475310. |RR        | 13.1    |  14.7      |p |
HP    Hya |144736.2-264714. |RR        | 13.     |  14.       |p |
NSV 06808 |144740.3+255839. |RR        | 14.8    |  15.6      |p |
AH    Cir |144929.9-693916. |RR        | 14.8    |  16.2      |p |
TZ    Lup |145015.7-522821. |RR        | 14.5    |  16.5      |p |
BC    Cir |145126.2-702926. |RR        | 15.     |  16.       |p |
UX    Aps |145223.5-705416. |RR        | 14.7    |  15.8      |p |
NN    Boo |145339.9+403143. |RR(B)     | 12.65   |  13.18     |* |
V0411 Boo |145355.1+393221. |RR(B)     | 15.47   |  16.05     |CV|
VW    Lup |145544.7-505737. |RR        | 12.5    |  13.1      |p |
NSV 06867 |145709.7+191515. |RR        | 14.4    |  15.2      |p |
VY    Lup |145717.7-505300. |RR        | 14.7    |  16.4      |p |
NSV 06868 |145718.6+225911. |RR        | 15.3    |  16.1      |p |
VZ    Lup |145811.1-455613. |RR        | 14.0    |  15.2      |p |
V0412 Boo |145811.8+252632. |RR(B)     | 17.28   |  18.16     |CV|
V0395 Aps |145836.8-821118. |RR(B)     | 17.34   |  18.02     |V |
V0403 Aps |145920.9-821120. |RR(B)     | 17.35   |  17.97     |V |
V0404 Aps |145924.4-821406. |RR(B)     | 17.33   |  18.00     |V |
V0410 Aps |145941.6-821316. |RR(B)     | 17.24   |  17.95     |V |
V0421 Aps |145957.3-821319. |RR(B)     | 17.11   |  17.91     |V |
V0431 Aps |150013.7-821312. |RR(B)     | 17.29   |  17.91     |V |
V0432 Aps |150014.9-821141. |RR(B)     | 17.20   |  18.05     |V |
V0445 Aps |150026.2-821133. |RR(B)     | 17.26   |  17.98     |V |
V0446 Aps |150026.5-821114. |RR(B)     | 17.20   |  18.02     |V |
V0448 Aps |150029.4-821429. |RR(B)     | 17.27   |  17.93     |V |
V0449 Aps |150029.5-821322. |RR(B)     | 17.20   |  17.91     |V |
V0461 Aps |150044.4-821238. |RR(B)     | 17.32   |  17.91     |V |
V0463 Aps |150047.6-821330. |RR(B)     | 17.28   |  17.90     |V |
V0466 Aps |150049.7-821021. |RR(B)     | 17.21   |  18.03     |V |
V0470 Aps |150052.3-821109. |RR(B)     | 17.22   |  17.85     |V |
V0483 Aps |150108.4-821309. |RR(B)     | 17.24   |  17.90     |V |
XY    Lup |150148.3-525031. |RR        | 12.8    |  14.2      |p |
V0488 Aps |150216.1-821718. |RR(B)     | 17.22   |  17.92     |V |
V0413 Boo |150358.2+344648. |RR(B)     | 17.02   |  17.87     |CV|
FG    Aps |150642.3-721322. |RR        | 15.     |  16.       |p |
NSV 06938 |150658.5-211712. |RR        | 11.5    |  12.1      |p |
V0415 Boo |150740.6+124143. |RR(B)     | 13.26   |  13.83     |CV|
V0742 Vir |150817.6+063214. |RR(B)     | 16.82   |  17.46     |CV|
FU    Lup |150923.8-431937. |RR        | 14.     |  15.       |p |
V0637 Ser |151307.6+120804. |RR(B)     | 13.69   |  14.28     |CV|
AL    Lib |151653.6-201922. |RR        | 14.7    |  15.5      |p |
NSV 06997 |151716.5-712608. |RR        | 15.     |  15.5      |p |
V0372 Ser |151735.0-010517. |RR(B)     | 10.85   |  11.69     |V |
BH    Cir |151751.2-640058. |RR        | 15.5    |  16.5      |p |
AT    Lib |151821.1-251825. |RR        | 15.3    |  16.5      |p |
GZ    Lup |151848.6-304427. |RR        | 12.7    |  13.6      |p |
TX    Lib |151910.6-065829. |RR        | 12.4    |  13.2      |p |F0hb:
AY    Lib |152026.6-202710. |RR        | 15.1    |  16.3      |p |
AN    Lup |152058.3-482441. |RR        | 13.7    |  15.3      |p |
EQ    Lib |152110.9-294027. |RR        | 15.5    |  16.       |p |
GH    TrA |152210.9-664403. |RR        | 15.     |  16.       |p |
FW    Lup |152225.4-405536. |RR        |  8.82   |   9.22     |V |F5IV
FX    Lup |152244.8-301316. |RR        | 16.     |  17.       |p |
ER    Lib |152537.6-271308. |RR        | 14.5    |  16.       |p |
BM    Lib |152638.4-113230. |RR        | 12.5    |  13.9      |p |
NSV 07084 |152737.4-152652. |RR        | 14.8    |  15.5      |p |
NSV 07101 |152908.2-135004. |RR        | 15.0    |  15.9      |p |
BS    Lib |153018.9-132243. |RR        | 12.7    |  14.3      |p |
BV    Lib |153102.8-122349. |RR        | 14.9    |  16.0      |p |
FH    Aps |153139.5-724018. |RR        | 15.5    |  16.5      |p |
HH    Lib |153302.7-142006. |RR        | 14.5    |  15.5      |p |
NSV 07139 |153405.1-130842. |RR        | 14.6    |  15.2      |p |
CE    Lib |153420.4-180648. |RR        | 14.8    |  15.8      |p |
NSV 07146 |153516.1-125419. |RR        | 14.9    |  15.6      |p |
NSV 07148 |153542.2-183525. |RR        | 14.2    |  14.8      |p |
NSV 07150 |153556.6-181501. |RR        | 15.0    |  15.8      |p |
NSV 07153 |153653.6-182650. |RR        | 15.3    |  15.9      |p |
NSV 07158 |153712.8-190038. |RR        | 14.2    |  14.7      |p |
FK    Aps |153713.4-721123. |RR        | 15.     |  16.       |p |
NSV 07162 |153715.4-114647. |RR        | 15.2    |  16.1      |p |
V0368 Lib |153719.9-180057. |RR(B)     | 14.20   |  14.73     |CV|
CM    Lib |153825.5-162140. |RR        | 13.4    |  14.8      |p |
CN    Lib |153853.8-145735. |RR        | 15.5    |  16.5      |p |
NSV 07183 |153957.8-134650. |RR        | 16.0    |  16.7      |p |
CO    Lib |154030.0-152735. |RR        | 14.9    |  15.9      |p |
NSV 07193 |154057.6-134641. |RR        | 15.1    |  15.9      |p |
GK    TrA |154101.0-645129. |RR        | 15.     |  16.       |p |
GI    TrA |154137.4-682642. |RR        | 15.     |  16.       |p |
NSV 07198 |154141.7-125105. |RR        | 14.8    |  15.4      |p |
WY    Nor |154149.1-582045. |RR        | 15.6    |  16.5      |p |
CS    Lib |154152.3-132956. |RR        | 15.4    |  16.5      |p |
V0377 Lib |154201.7-042151. |RR(B)     | 16.64   |  17.32     |CV|
NSV 07205 |154242.3-132514. |RR        | 14.8    |  15.5      |p |
NSV 07206 |154250.2-133302. |RR        | 14.7    |  15.5      |p |A
EL    Lib |154255.9-163142. |RR        | 14.1    |  15.0      |p |
EM    Lib |154256.9-160910. |RR        | 14.8    |  15.6      |p |
NSV 07207 |154258.8-141836. |RR        | 14.7    |  15.4      |p |
NSV 07209 |154307.2-160428. |RR        | 15.1    |  15.7      |p |
CU    Lib |154330.8-292201. |RR        | 12.7    |  13.8      |p |
GM    TrA |154352.7-644029. |RR        | 15.     |  16.       |p |
CX    Lib |154436.7-104330. |RR        | 13.7    |  15.2      |p |
CY    Lib |154511.0-150302. |RR        | 15.1    |  16.4      |p |
NSV 07232 |154519.9-141149. |RR        | 16.0    |  16.8      |p |
CZ    Lib |154535.8-194813. |RR        | 14.2    |  15.2      |p |
NSV 07236 |154609.8-141612. |RR        | 16.2    |  17.0      |p |
DE    CrB |154619.2+363405. |RR(B)     | 15.63   |  16.25     |V |
NSV 07240 |154622.7-120008. |RR        | 15.1    |  15.8      |p |
DD    Lib |154625.2-193241. |RR        | 14.2    |  15.4      |p |
V0338 Boo |154626.1+441847. |RR(B)     | 12.71   |  13.22     |* |
DF    Lib |154644.8-163606. |RR        | 13.7    |  15.3      |p |
DH    Lib |154708.1-122448. |RR        | 13.5    |  14.7      |p |
NSV 07248 |154710.8-141451. |RR        | 15.0    |  15.6      |p |
DI    Lib |154722.0-160627. |RR        | 13.9    |  15.0      |p |
DK    Lib |154733.0-181850. |RR        | 13.6    |  15.2      |p |
NSV 07258 |154739.5-123625. |RR        | 15.2    |  15.8      |p |
NSV 07256 |154742.3-191301. |RR        | 14.7    |  15.5      |p |
NSV 07259 |154756.8-130512. |RR        | 14.5    |  15.3      |p |
DL    Lib |154807.7-145744. |RR        | 15.5    |  16.8      |p |
YZ    Nor |154837.8-600054. |RR        | 15.5    |  16.2      |p |
DO    Lib |154911.6-164333. |RR        | 14.0    |  15.4      |p |
V1452 Her |154916.8+422424. |RR(B)     | 16.31   |  16.86     |CV|
V0646 Ser |154941.4+135936. |RR(B)     | 15.96   |  16.61     |CV|
DG    CrB |154951.1+293128. |RR(B)     | 18.1    |  19.0      |CV|
DP    Lib |155037.0-112844. |RR        | 14.2    |  15.2      |p |
NSV 07293 |155113.4-181532. |RR        | 15.3    |  15.9      |p |
DQ    Lib |155134.1-143132. |RR        | 14.4    |  15.5      |p |
NSV 07298 |155147.7-160221. |RR        | 15.0    |  15.7      |p |
V0379 Lib |155156.6-180319. |RR(B)     | 16.20   |  17.12     |CV|
GO    TrA |155206.5-663110. |RR        | 15.5    |  17.       |p |
TY    TrA |155222.5-630022. |RR        | 15.7    |  16.3      |p |
DR    Lib |155302.8-183357. |RR        | 14.0    |  15.5      |p |
NSV 07308 |155327.8-184730. |RR        | 15.1    |  15.7      |p |
V0649 Ser |155404.4+185121. |RR(B)     | 15.75   |  16.29     |CV|
NSV 07323 |155440.1-201521. |RR        | 15.1    |  15.9      |p |
UY    TrA |155518.6-620539. |RR        | 15.0    |  16.1      |p |
DV    Lib |155529.7-102131. |RR        | 14.8    |  15.8      |p |
EO    Lib |155556.1-173457. |RR        | 13.5    |  15.7      |p |
NSV 07339 |155606.5-164018. |RR        | 15.3    |  15.9      |p |
NSV 07342 |155617.3-133444. |RR        | 14.6    |  15.2      |p |
UZ    TrA |155628.2-640008. |RR        | 14.4    |  15.6      |p |
GQ    Lib |155657.8-164158. |RR        | 15.5    |< 16.3      |p |
VZ    TrA |155907.9-625727. |RR        | 12.6    |  14.0      |p |
GP    TrA |160100.6-693518. |RR        | 14.5    |  15.5      |p |
DH    CrB |160128.5+281554. |RR(B)     | 15.04   |  15.62     |CV|
V0575 Ser |160139.9+032559. |RR(B)     | 15.11   |  15.71     |CV|
DI    CrB |160531.2+295642. |RR(B)     | 17.80   |  18.63     |CV|
BX    Dra |160617.4+624546. |RR        | 11.5    |  12.2      |p |A3
CE    Ser |160741.8-031056. |RR        | 14.9    |  15.9      |p |
V0654 Ser |160825.2+121908. |RR(B)     | 15.25   |  15.86     |CV|
AE    TrA |160941.3-644530. |RR        | 14.9    |  15.6      |p |
BZ    Nor |161025.9-585729. |RR        | 14.4    |  15.1      |p |
V0579 Ser |161104.3+032853. |RR(B)     | 16.58   |  17.29     |CV|
CF    Nor |161130.8-600754. |RR        | 15.5    |  16.3      |p |
CI    Nor |161213.4-600424. |RR        | 14.7    |  15.7      |p |
V0682 Her |161219.9+231935. |RR        | 15.7    |  16.5      |p |
CI    Ser |161341.4-022023. |RR        | 14.4    |  15.2      |p |
CK    Ser |161342.0-004911. |RR        | 14.8    |  15.6      |p |
AT    TrA |161412.2-622647. |RR        | 13.8    |  15.5      |p |
AU    TrA |161439.0-615602. |RR        | 14.5    |  15.3      |p |
LZ    Nor |161516.1-595416. |RR        | 16.0    |< 17.0      |p |
AV    TrA |161555.1-645111. |RR        | 14.4    |  15.8      |p |
DF    Nor |161633.3-590854. |RR        | 15.1    |  16.2      |p |
V0753 Sco |161650.1-295116. |RR        | 14.     |  15.       |p |
V1457 Her |161734.1+410342. |RR(B)     | 16.48   |  17.16     |CV|
ES    TrA |161750.0-602927. |RR        | 16.0    |< 17.0      |p |
BH    TrA |161906.8-612207. |RR        | 14.2    |  15.7      |p |
BI    TrA |161912.8-605403. |RR        | 14.9    |  15.8      |p |
NSV 07647 |162025.7+320111. |RR        | 14.5    |  15.       |p |
EE    Nor |162115.6-590133. |RR        | 15.1    |  16.3      |p |
BY    TrA |162233.8-603703. |RR        | 14.7    |  16.1      |p |
KK    Nor |162356.3-562340. |RR        | 15.6    |< 16.6      |p |
V1461 Her |162427.5+182450. |RR(B)     | 14.67   |  15.23     |CV|
V0447 Her |162451.7+441027. |RR        | 13.5    |  14.5      |p |
EZ    TrA |162518.9-602832. |RR        | 15.6    |< 16.2      |p |
NSV 07706 |162539.7-050105. |RR        | 13.6    |  14.2      |p |
KN    Nor |162552.2-595054. |RR        | 15.5    |< 16.5      |p |
CH    TrA |162554.9-603445. |RR        | 13.7    |  15.3      |p |
V0702 Oph |162602.9-004225. |RR        | 14.0    |  15.0      |p |
CI    TrA |162622.1-631901. |RR        | 14.7    |  15.3      |p |
EW    Nor |162654.4-583022. |RR        | 15.3    |  16.2      |p |
CK    TrA |162657.6-614432. |RR        | 14.7    |  15.9      |p |
KP    Nor |162709.0-601617. |RR        | 16.0    |< 17.0      |p |
EY    Nor |162723.6-600912. |RR        | 15.7    |  16.5      |p |
FG    TrA |162734.1-620514. |RR        | 15.2    |< 16.0      |p |
KS    Nor |162755.7-582109. |RR        | 16.0    |< 17.0      |p |
CO    TrA |162820.7-602019. |RR        | 15.3    |  16.2      |p |
CN    TrA |162829.6-615551. |RR        | 13.9    |  14.7      |p |
FH    Nor |162839.0-591117. |RR        | 15.0    |  16.0      |p |
CQ    TrA |162901.8-633825. |RR        | 13.7    |  15.2      |p |
V0713 Oph |163010.8-064803. |RR        | 14.0    |  15.1      |p |
V1466 Her |163018.5+062627. |RR(B)     | 16.34   |  16.96     |CV|
CV    TrA |163025.7-603156. |RR        | 13.4    |  14.1      |p |
CW    TrA |163046.3-614217. |RR        | 13.9    |  14.7      |p |
V0700 Her |163123.8+204138. |RR        | 16.7    |  17.2      |p |
NSV 07796 |163152.1-063544. |RR        | 15.3    |  15.9      |p |
V0596 Her |163234.1+302039. |RR        | 14.5    |  15.       |p |
V1468 Her |163245.6+324051. |RR(B)     | 16.50   |  17.08     |CV|
V0597 Her |163318.9+364741. |RR        | 15.     |  16.       |p |
V0703 Her |163326.5+212916. |RR        | 15.3    |  16.1      |p |
KO    TrA |163536.8-611342. |RR        | 15.7    |< 16.7      |p |
DQ    TrA |163603.2-612302. |RR        | 15.0    |  15.9      |p |
DP    TrA |163613.1-634213. |RR        | 13.4    |  14.8      |p |
NSV 07878 |163841.5-014821. |RR        | 15.0    |  15.6      |p |
V1472 Her |163913.4+481103. |RR(B)     | 15.83   |  16.53     |CV|
V0354 Ara |164021.1-572707. |RR        | 14.5    |  15.5      |p |
V0605 Her |164041.7+115158. |RR        | 13.5    |  14.5      |p |
DW    TrA |164101.7-633234. |RR        | 13.4    |  14.9      |p |
V0546 Her |164122.3+122511. |RR        | 14.     |  15.       |p |
V0547 Her |164330.1+075048. |RR        | 14.5    |  15.5      |p |
V1474 Her |164345.0+330651. |RR(B)     | 17.47   |  18.26     |CV|
V0549 Her |164403.5+121138. |RR        | 15.5    |  17.       |p |
V0555 Dra |164425.4+525146. |RR(B)     | 17.48   |  18.21     |CV|
V1477 Her |164445.4+232132. |RR(B)     | 17.8    |  18.8      |CV|
V0612 Her |164507.0+090234. |RR        | 15.     |  16.       |p |
V0377 Ara |164641.5-600048. |RR        | 15.8    |< 16.3      |p |
V1478 Her |164647.7+405117. |RR(B)     | 16.40   |  17.08     |CV|
V1009 Oph |164709.8-151053. |RR        | 15.4    |  16.3      |p |
V0613 Her |164820.9+100251. |RR        | 15.     |  16.       |p |
V1480 Her |164822.8+044717. |RR(B)     | 16.83   |  17.60     |CV|
V1481 Her |164827.0+145408. |RR(B)     | 17.03   |  17.85     |CV|
BF    Sco |164832.8-300741. |RR        | 13.7    |  15.4      |p |
V1482 Her |164844.1+073205. |RR(B)     | 16.70   |  17.51     |CV|
V1483 Her |164859.1+244355. |RR(B)     | 16.53   |  17.21     |CV|
DQ    Sco |164917.5-300254. |RR        | 15.9    |< 16.5      |p |
V1484 Her |165009.5+142820. |RR(B)     | 17.78   |  18.67     |CV|
NSV 07985 |165039.6-410137. |RR        | 14.4    |  15.0      |p |
GV    Sco |165043.4-292810. |RR        | 15.5    |  16.4      |p |
GX    Sco |165140.6-295100. |RR        | 15.0    |  16.1      |p |
V1123 Oph |165401.2+085715. |RR        | 16.     |  17.       |p |
GZ    Sco |165414.7-304537. |RR        | 14.7    |  15.9      |p |
KV    Oph |165416.9-275641. |RR        | 15.0    |  15.8      |p |
KW    Oph |165428.3-293120. |RR        | 14.4    |  15.3      |p |
XZ    Oph |165439.8-290951. |RR        | 12.3    |  13.6      |p |
V1130 Oph |165551.0+104941. |RR        | 15.5    |  16.5      |p |
LO    Oph |165619.8-291347. |RR        | 15.1    |  16.1      |p |
DE    Oph |165636.5-301055. |RR        | 14.8    |  16.2      |p |
HR    Sco |165643.1-303245. |RR        | 15.9    |  16.5      |p |
LP    Oph |165648.1-292337. |RR        | 15.1    |  15.8      |p |
LR    Oph |165656.6-293101. |RR        | 15.5    |  16.2      |p |
LS    Oph |165700.3-300857. |RR        | 15.4    |  16.2      |p |
HS    Sco |165705.7-310352. |RR        | 13.9    |  14.9      |p |
V1486 Her |165709.7+214002. |RR(B)     | 16.57   |  17.50     |CV|
LX    Oph |165713.8-295744. |RR        | 15.3    |  16.0      |p |
LZ    Oph |165725.4-292247. |RR        | 15.0    |  15.5      |p |
V1488 Her |165740.3+205334. |RR(B)     | 16.08   |  16.65     |CV|
HU    Sco |165742.1-301711. |RR        | 15.3    |  15.8      |p |
MQ    Oph |165754.9-292752. |RR        | 15.3    |  16.0      |p |
V1489 Her |165757.1+202616. |RR(B)     | 18.1    |  18.9      |CV|
HV    Sco |165810.8-304216. |RR        | 15.3    |  15.9      |p |
V0750 Her |165835.8+444104. |RR        | 14.8    |  15.5      |p |
NO    Oph |165841.6-295053. |RR        | 15.6    |  16.2      |p |
V1161 Oph |165845.5-221049. |RR        | 16.2    |  17.1      |p |
HY    Sco |165900.4-312559. |RR        | 15.5    |  16.3      |p |
HZ    Sco |165901.4-304123. |RR        | 15.4    |  16.2      |p |
V1168 Oph |165906.4-181452. |RR        | 16.3    |  17.1      |p |
NR    Oph |165909.7-290448. |RR        | 15.5    |  16.1      |p |
NS    Oph |165916.4-300320. |RR        | 15.1    |  15.7      |p |
II    Sco |165920.4-304604. |RR        | 15.6    |  16.2      |p |
BO    Oph |165928.1-293116. |RR        | 14.8    |  15.9      |p |
NW    Oph |165942.0-293508. |RR        | 15.5    |  16.5      |p |
NZ    Oph |165943.0-291522. |RR        | 14.6    |  16.1      |p |
OQ    Oph |165948.4-271122. |RR        | 15.5    |  16.6      |p |
OP    Oph |165951.0-294009. |RR        | 15.0    |  15.7      |p |
OT    Oph |170004.4-285435. |RR        | 15.1    |  16.2      |p |
OS    Oph |170005.6-291919. |RR        | 15.6    |  16.5      |p |
IN    Sco |170014.5-302409. |RR        | 15.6    |  16.2      |p |
OV    Oph |170019.8-300029. |RR        | 15.2    |  15.7      |p |
IO    Sco |170020.1-304824. |RR        | 15.3    |  15.9      |p |
V1057 Oph |170106.7+110317. |RR        | 15.     |  16.       |p |
PQ    Oph |170113.4-300032. |RR        | 14.4    |  15.0      |p |
PY    Oph |170129.0-283531. |RR        | 15.5    |  16.1      |p |
IS    Sco |170144.9-310107. |RR        | 15.3    |  16.7      |p |
V1243 Oph |170202.2-180012. |RR        | 17.1    |  17.7      |p |
V1250 Oph |170210.8-180454. |RR        | 16.3    |  17.2      |p |
IW    Sco |170214.6-311726. |RR        | 15.4    |  16.0      |p |
V1261 Oph |170228.5-163631. |RR        | 16.0    |  16.5      |p |
V1262 Oph |170230.9-170735. |RR        | 17.2    |  17.9      |p |
V0335 Oph |170301.7-291605. |RR        | 15.5    |  16.2      |p |
V0336 Oph |170304.0-295221. |RR        | 15.4    |  16.0      |p |
IY    Sco |170308.5-312955. |RR        | 13.9    |  14.8      |p |
V1491 Her |170341.3+493324. |RR(B)     | 17.41   |  18.20     |CV|
V1322 Oph |170343.3+115156. |RR        | 15.     |  16.       |p |
V0557 Dra |170358.6+520137. |RR(B)     | 16.48   |  17.17     |CV|
